expression; size; sliced on; sign slice; sign size 
(letrec* ((tgvn -29) (dqu -9) (gkwix -26) (gcsaw 11)) (- (+ tgvn (/ (+ 6 gkwix) dqu)) (* (begin (+ gcsaw -7) gkwix) (begin (set! gkwix (* gcsaw -26)) (* 23 -13)))));35;19;(letrec* ((gcsaw 11)) '());3
(let ((ae (* (if #f -12 (- 13 10)) (begin 17 -15))) (f 27) (t -26) (qoj 18)) (begin (/ -26 qoj) (/ qoj t) (* 15 -1)));29;-6;(let ((t -26)) '());3
(letrec* ((hd (if #t (/ -9 -27) (if #t -11 -3))) (foax 2) (tprgk -3)) -6);14;-21;(letrec* ((hd (if #t (/ -9 -27) (if #t -11 -3)))) '());12
(let* ((joz (/ (if #f -4 10) -16)) (k (* 7 6)) (fcpk -17)) (let ((qokils -28) (jjle -18)) (* (- -28 qokils) (if #f -15 (* (- (* fcpk 30) fcpk) 9)))));35;-5;(let* ((joz (/ (if #f -4 10) -16))) '());9
(let* ((xsl (* (let* () -6) 11)) (i (if #t (if #f 4 -18) 27)) (r (if #f 14 3)) (qia -6)) (* -2 (* (if (= 2 qia) (if #f -5 -1) (- 13 (* (+ -22 -14) 7))) (if #f (- qia 24) xsl))));49;-11;(let* ((xsl (* (let* () -6) 11)) (i (if #t (if #f 4 -18) 27)) (qia -6)) '());15
(letrec* ((w (/ (+ -8 -6) (begin 30 -27))) (tjaa (let* () -25)) (xgbps (if #t 13 -13)) (usrwyr -22)) 17);18;-3;(letrec* ((tjaa (let* () -25))) '());4
(letrec* ((u -23) (aofbq 10) (vlfb -13)) (begin (if (= -22 17) (/ 6 27) vlfb) (set! aofbq (if #f vlfb 29)) -26 (* -29 vlfb)));25;-21;(letrec* ((u -23)) '());3
(let* ((xju (+ -23 -19)) (edy -27)) xju);7;-14;(let* ((xju (+ -23 -19))) '());6
(let* ((uuhqdh 3) (ccegqp (/ 11 (if #t -6 -14))) (afy (if #t -24 -12)) (uydygj -14)) (if (< 25 afy) (let ((efqmr uydygj)) (+ 29 11)) 10));26;15;(let* ((uuhqdh 3) (afy (if #t -24 -12)) (uydygj -14)) '());8
(let* ((buaa (begin -25 14)) (gmzsfn (/ 18 3)) (pa -16)) (* 18 gmzsfn));13;-20;(let* ((gmzsfn (/ 18 3))) '());6
(let ((ytwj (* (if #f 10 (+ 11 11)) (begin -21 -11))) (ydq (* 15 (if #f 5 30))) (hgessc 9) (epiqoi 16)) -15);23;18;(let ((hgessc 9)) '());3
(let ((axc (if #f 16 14)) (hoidn (if (< 28 12) (- -25 -27) 26)) (yodx -21) (n 26)) 24);18;-5;(let ((n 26)) '());3
(let* ((bw (- (* 3 19) 23)) (gtwb -26) (h -24)) (if (= 14 24) (- gtwb 29) 19));20;-8;(let* ((gtwb -26)) '());3
(letrec* ((jyo (- -9 (+ -21 23))) (bipo -21) (yfdz 20)) (if #t bipo (if (= -15 bipo) (- (if #t -23 jyo) (if #t yfdz yfdz)) (* (* 27 bipo) (+ -18 jyo)))));38;28;(letrec* ((bipo -21)) '());3
(let* ((vv -19) (ftcy (* -10 16)) (b 10)) (- (/ 0 -27) (* (begin b -18) (* (- (- (* 19 b) b) -18) (/ (/ b (+ (/ (/ -23 -13) vv) 25)) (* -8 vv))))));49;1;(let* ((ftcy (* -10 16))) '());6
(let* ((dbcfyy (if #f (if #t 19 -28) (letrec* () -22))) (uqyv -20) (e (+ 1 -13)) (pifh -5)) (* (+ e (/ 14 (/ (- (/ (+ 26 dbcfyy) (/ (+ dbcfyy -24) -26)) 0) (- pifh (- (* 16 (/ -13 pifh)) -7))))) (+ 20 (/ dbcfyy pifh))));61;11;(let* ((dbcfyy (if #f (if #t 19 -28) (letrec* () -22))) (pifh -5)) '());11
(let* ((frcdia (if #t (if #f (if #f -19 -25) 0) (let () 24))) (entdak 1) (mnewq 30) (rdi -18)) (if #f (begin frcdia 21) 20));21;28;(let* ((frcdia (if #t (if #f (if #f -19 -25) 0) (let () 24)))) '());13
(let ((hkh 7) (qnwe (/ -27 (+ -15 -2))) (i (* 12 -16)) (jujp -23)) i);15;8;(let ((hkh 7)) '());3
(letrec* ((jsmpn (+ 12 -17)) (ktki -9)) (* (- -4 -18) (+ (- 3 (* jsmpn -7)) jsmpn)));22;-16;(letrec* ((jsmpn (+ 12 -17))) '());6
(letrec* ((mwd (let* () -27)) (mvqodb 4) (ylfwm 30)) ylfwm);6;13;(letrec* ((mwd (let* () -27)) (mvqodb 4)) '());5
(let* ((zdxy (begin 29 6)) (xqrsuy (* -26 -11)) (t 1)) (/ (/ (let* () (/ -7 14)) xqrsuy) 2));20;11;(let* ((xqrsuy (dummy 2)) (t 1)) (/ (/ (let* () (/ -7 14)) xqrsuy) 2));16
(let* ((ljzaoa (- (/ (if #f -30 -1) -10) (let () 30))) (zo (let* () 15)) (lkogp -30) (zg -6)) 24);17;19;(let* ((ljzaoa (- (/ (if #f -30 -1) -10) (let () 30))) (zo (let* () 15)) (zg -6)) '());16
(let ((rsmf (begin (if #f -24 -14) -6 -6)) (vak 25) (mrii (+ -1 -23)) (zbtt -21)) (begin (if #t (/ 16 (/ rsmf (/ (+ (* (/ -30 28) mrii) 9) 20))) -10) (set! mrii (+ -25 -15)) 22 zbtt));44;-15;(let ((vak 25)) '());3
(let* ((hpir (if #t -2 26)) (ucumcy -12)) (+ 17 (if (< (* hpir -17) hpir) (if #f -26 hpir) (* ucumcy (- hpir (+ ucumcy hpir))))));31;-18;(let* ((hpir (if #t -2 26))) '());6
(letrec* ((wpo (+ (letrec* () -30) (begin 14 -20))) (rlurus 11) (whwjld -1) (nz -8)) rlurus);12;-20;(letrec* ((wpo (+ (letrec* () -30) (begin -20)))) '());8
(let* ((egsu (let* ((dmdp -11)) (+ (/ -5 dmdp) dmdp))) (z (+ (/ 2 27) -1)) (f (if #f 19 1)) (j -5)) (* (* (* f -8) (begin -16 (+ j (- (+ (- (/ (/ (/ j 8) egsu) (/ egsu f)) 9) z) 28)))) (* (* f f) (+ (/ -11 (- (+ (+ (+ z -10) -18) (* (- (+ z -26) (/ -21 (* 21 29))) 16)) f)) z))));97;6;(let* ((egsu (let* ((dmdp -11)) (+ (/ -5 dmdp) dmdp))) (f (if #f 19 1))) '());15
(let* ((yhhu 15) (a (if #t 21 -23)) (bxurma 16) (usnyo -8)) (/ (* (+ (if #t (/ 10 -8) (+ usnyo -5)) (- yhhu -9)) (begin (+ (- 25 22) usnyo) -6)) (begin (set! a (+ usnyo bxurma)) a -12)));45;10;(let* ((bxurma 16)) '());3
(let* ((x 17) (stffde -26)) (if (= stffde 26) (begin (set! stffde -28) 27 -24) 18));14;-17;(let* ((stffde -26)) (if (= stffde 26) (begin (set! stffde -28)) '()));11
(let ((e (* (* -23 -7) 8)) (dsb (if #f 21 (+ 13 -22))) (q (* -28 -22)) (prysx 7)) 26);21;-19;(let ((dsb (if #f 21 (+ 13 -22)))) '());9
(let* ((bqtkhv (if #t 6 (if #t 8 18))) (v 6) (prhl (* -4 0)) (ob 24)) -13);15;-22;(let* ((prhl (* -4 0))) '());6
(let* ((bxdwue (begin 14 28 -28)) (vaxvhc 7) (wywb (* -24 -1)) (tobh -1)) (- (- tobh -24) (begin 2 vaxvhc)));20;3;(let* ((tobh -1)) '());3
(letrec* ((rzbn (if #t -18 15)) (daxoi (begin 11 -11)) (cpjkpn -16) (ycnkc 8)) (if #t (+ (* 0 13) -26) (begin (if #f 21 -6) 30 26)));26;8;(letrec* ((rzbn (if #t -18 15))) '());6
(let* ((p -25) (nly -26) (yvk -21) (dosbn 30)) (let* ((oxp (* (+ yvk nly) 6)) (ujuzt (+ (* (/ nly -3) p) dosbn))) (* 0 (+ (/ p (+ oxp ujuzt)) 20))));36;-28;(let* ((yvk -21)) '());3
(let* ((d -25) (ge (/ -10 (- -9 20))) (ter 15) (ohxf 6)) (if #t (/ (* (if #t ter (* ohxf (* -9 -18))) (- ter (+ -24 ohxf))) (* (* ter (/ -3 21)) ge)) (if (= (- d ohxf) -4) (- (+ (- (+ -23 ter) 13) (+ d 20)) 2) (if #f (- (/ (/ ge ge) -4) (* ter 3)) ter))));84;-21;(let* ((d -25) (ohxf 6)) '());4
(let* ((wq (* -14 (if #t -14 9))) (akfq (if #t -19 -15)) (sf 13) (dref 16)) (/ (- akfq (+ (- 28 -26) wq)) -9));27;-27;(let* ((akfq (if #t -19 -15))) '());6
(letrec* ((kgi (* (begin -26 -20) (+ 18 -19))) (thms -5) (ezm -5) (fdbbzk -30)) (begin (/ 6 -15) (/ 24 (+ kgi 17)) (* (+ 6 19) (* 19 -7))));35;-17;(letrec* ((fdbbzk -30)) '());3
(let ((xzxfg -30) (zs (begin 24 11)) (hl (/ 19 -25)) (seog -6)) (/ (begin (set! hl -10) (* seog (+ hl zs)) (+ (* -28 seog) hl)) (/ (+ seog zs) (if (= (/ -23 -6) hl) -12 xzxfg))));45;18;(let ((xzxfg -30) (zs (dummy 2)) (hl (dummy -2)) (seog -6)) (/ (begin (set! hl -10) (+ (* -28 seog) hl)) (/ (+ seog zs) (if (= (/ -23 -6) hl) -12 xzxfg))));37
(let ((emrfvc (if #t (* (* 28 12) 19) (+ -3 (if #f 6 -18)))) (qjfz (- -9 -19)) (szhdjn 12) (o 26)) (+ (+ (+ (* (+ emrfvc (* qjfz -8)) -7) (if #t 19 13)) -3) qjfz));45;14;(let ((szhdjn 12)) '());3
(let* ((crd (/ 23 (let* () -26))) (v -24) (lh 24) (itxn 22)) (+ -8 10));13;10;(let* ((crd (/ 23 (let* () -26))) (lh 24)) '());8
(let* ((mrnli -21) (seolwp (- 12 (* -1 19))) (m 1) (uilaqg -11)) (begin (set! m (/ 0 (+ -23 (- (+ -9 19) seolwp)))) mrnli mrnli -20));29;-5;(let* ((uilaqg -11)) '());3
(letrec* ((yhxf (if #t (begin -29 20) (if #t 3 28))) (lhp (begin 11 8)) (dqpqkx -8) (x -7)) (if #t -19 (if (< (/ 10 lhp) (+ (+ 22 15) (* 4 (* (- 9 -15) 6)))) (- (+ lhp 23) (if #t 23 yhxf)) -19)));52;2;(letrec* ((lhp (begin 8)) (dqpqkx -8)) '());5
(letrec* ((mgbc (if #f 19 (/ -16 (- -22 0)))) (vwqb (/ -27 19)) (jajugj 23) (lsokn -27)) (begin (- (* lsokn mgbc) (/ 11 19)) (set! jajugj (if #t 17 vwqb)) (set! mgbc mgbc) 5));36;24;(letrec* ((mgbc (if #f 19 (/ -16 (- -22 0))))) (begin (set! mgbc mgbc)));14
(let* ((iwkb (begin 27 7 3)) (fsiz (if (= -2 -7) -2 27)) (lwmjh 6) (t 24)) (- (begin (set! iwkb -16) -9 -18) 13));22;-26;(let* ((lwmjh 6)) '());3
(let* ((g 0) (qbg (+ -4 -30)) (o 9) (kgx -1)) (/ (begin -11 o kgx) (if #f g (/ o g))));21;-26;(let* ((o 9)) '());3
(let* ((juv -5) (qp 29) (ecax -24) (zgmr -26)) (+ (let ((j (- (- 9 -3) (- -18 zgmr)))) -15) (if #t (let* () juv) qp)));24;12;(let* ((juv -5) (qp 29) (ecax -24)) (+ (let () -15) (if #t (let* () juv) qp)));13
(letrec* ((t 30)) 14);3;7;(letrec* ((t 30)) '());3
(letrec* ((v (if #t (/ -29 -26) 29)) (lzkz (let () 16)) (n -22) (nkmlyd 18)) (if #f (if (= (* 29 -3) (+ -7 (/ v 28))) (* -3 -26) (if #f 15 lzkz)) n));37;27;(letrec* ((v (if #t (/ -29 -26) 29)) (lzkz (let () 16)) (nkmlyd 18)) '());12
(let ((mii 16) (sewo (letrec* () 13)) (arqi -13) (js -29)) -15);7;-19;(let ((sewo (letrec* () 13))) '());4
(let* ((gml -8) (syicf (begin 27 -29)) (jqkcfj (+ 20 17)) (pddds 20)) (if #f (begin jqkcfj (* (/ (/ (* (- -1 (+ pddds syicf)) -7) -11) pddds) (* 17 (- (/ 23 -23) -29)))) -27));43;-22;(let* ((jqkcfj (+ 20 17))) '());6
(let* ((gmqnxq (* (- 28 (if #t -5 -7)) 20)) (bpx 15) (pwiry 14) (qhuaqg -3)) (* (- gmqnxq (+ gmqnxq 27)) 3));24;17;(let* ((bpx 15)) '());3
(let* ((iu -26) (jgqplq -1) (w -21) (l -8)) (let ((gt -1) (y -23)) -7));9;-23;(let* ((jgqplq -1)) '());3
(let* ((dw (if #t -30 12)) (qjte (+ 8 -15)) (fzjfjm -27)) (* -14 qjte));14;21;(let* ((dw (if #t -30 12))) '());6
(letrec* ((lmjyo (- (* 22 19) -1)) (thy 18) (gfpr -14)) -16);11;-20;(letrec* ((thy 18)) '());3
(let* ((zxl -23) (iq 27) (vsibfm -18) (tcspys 24)) (- vsibfm zxl));9;-20;(let* ((zxl -23)) '());3
(letrec* ((au (begin -21 -22)) (ghgv (if (< 17 -12) 13 27)) (c 21) (eddug -25)) (- eddug ghgv));17;-15;(letrec* ((ghgv (if (< 17 -12) 13 27))) '());9
(let* ((rke 3) (yoi (let () 3)) (rtzrhg 27) (aabtfc 13)) (let* ((tebjmb 18) (goyvx aabtfc)) (* 21 -7)));13;-24;(let* ((rke 3) (yoi (let () 3))) '());5
(letrec* ((ojqtiu (* (if #t 25 19) (if #f (if #t -6 7) (+ 20 -20)))) (o 16) (wrmh 2) (kffrzj 4)) (let* ((fwathq 10) (qovye (* 5 -24))) (+ fwathq (/ (+ -24 -8) 12))));36;27;(letrec* ((kffrzj 4)) '());3
(let ((sqch 9) (yjqibz (letrec* () 21)) (mo (if #t 28 15)) (jfihrk -12)) (let* ((se (if #f -18 mo)) (hbsc -20)) (/ (* (/ (* 22 (+ (+ hbsc hbsc) hbsc)) (+ yjqibz -20)) 19) -29)));37;-13;(let ((yjqibz (letrec* () 21))) (let* ((hbsc -20)) '()));6
(let* ((igjk (- -10 (* (/ 23 3) (+ -12 7)))) (qhvk 28) (ksflyd (if #f -27 6)) (uzl -3)) uzl);21;3;(let* ((uzl -3)) '());3
(let* ((tqa 20) (vlx 9) (zscc (if #f 16 8)) (bpvi 18)) tqa);9;1;(let* ((vlx 9)) '());3
(letrec* ((zjnnnb (if #f (* -3 26) 13)) (nk 15) (qb (* 6 -11)) (nnjiuc 0)) (- (let* ((ibg nk)) nnjiuc) (- (- qb qb) (if #f 9 (+ (- -5 zjnnnb) nnjiuc)))));35;3;(letrec* ((zjnnnb (dummy 2)) (qb (dummy -2)) (nnjiuc 0)) (- (let* () nnjiuc) (- (- qb qb) (if #f 9 (+ (- -5 zjnnnb) nnjiuc)))));28
(let* ((kxm -8) (ljlyf (if (< 9 -27) 24 23)) (focaz 25) (pr -3)) -20);12;-29;(let* ((pr -3)) '());3
(letrec* ((atvaej (begin -20 22)) (f -16) (dhdk -25)) 30);7;-25;(letrec* ((dhdk -25)) '());3
(let ((ogkdy (let* () -14)) (zlgc -15) (ur 21)) 6);6;23;(let ((ogkdy (let* () -14)) (ur 21)) '());5
(let* ((i -11) (dlzjmm (if #t 16 -7)) (qmkhwx -4) (lgzdgu 24)) (* (* (+ (* qmkhwx -13) 25) (* -4 10)) (if (< -10 -22) 14 (- (+ (/ (* (* (- (* -26 0) (/ 21 -10)) 7) -21) -13) dlzjmm) -13))));54;-8;(let* ((i -11)) '());3
(let ((ybcdkr (begin -28 -14 -6)) (fuidj (* (+ -26 -26) 18)) (iuj (+ 4 8)) (lzvbtx -3)) (- -6 iuj));21;4;(let ((ybcdkr (begin -6))) '());4
(let* ((sqeyt -23)) -23);3;29;(let* ((sqeyt -23)) '());3
(let* ((nls -29) (s 11) (l 27) (sov -13)) (/ 29 (begin s (* sov (/ (* 14 20) -23)))));20;9;(let* ((s 11)) '());3
(let ((ouzwm (if #f (if #t -2 19) (+ -29 -9))) (exlazo -6) (twsvnk -12)) (begin (set! exlazo (* (* (- (/ 10 (- (- 29 -25) (* -27 6))) (+ (+ (- exlazo (/ ouzwm exlazo)) ouzwm) -18)) -24) -22)) (set! twsvnk twsvnk) 15 (+ (* -27 -24) 16)));59;-6;(let ((ouzwm (if #f (if #t -2 19) (+ -29 -9))) (exlazo -6) (twsvnk -12)) (begin (set! exlazo (* (* (- (/ 10 (- (- 29 -25) (* -27 6))) (+ (+ (- exlazo (/ ouzwm exlazo)) ouzwm) -18)) -24) -22)) (set! twsvnk twsvnk)));51
(let* ((nwj -21)) (* nwj nwj));6;22;(let* ((nwj -21)) '());3
(let* ((v 20) (vzp (+ (if #f -26 30) 19)) (ich -10) (n -3)) (- (begin (set! vzp n) ich n) 15));19;11;(let* ((n -3)) '());3
(let* ((kl (- (begin 27 7) (- -9 (if #f 11 -2)))) (gzw -1) (zeuxlm -17) (skjms 15)) (- (begin (/ (- (/ zeuxlm zeuxlm) -2) -2) (/ -19 -16)) (* (+ (* -20 gzw) (+ gzw 14)) 8)));46;6;(let* ((zeuxlm -17)) '());3
(let ((fxn (/ 26 (+ 11 -22))) (kbs (- 1 -16)) (rrexm -2)) 7);14;-8;(let ((kbs (- 1 -16))) '());6
(let ((mzbb (if #f -28 (begin -25 -4))) (p -20) (zt 16) (upuzwd -28)) (let ((qak -22) (l (- (+ -5 14) 15))) (begin mzbb 18)));22;-9;(let ((upuzwd -28)) '());3
(let ((ggto -20) (uxwblc 28)) (if #f (begin (set! ggto 4) (set! ggto 22) 8) (if #t ggto 5)));15;27;(let ((uxwblc 28)) '());3
(let* ((g -4) (mogxmn (- (+ 10 18) 29)) (avlxcp (+ 3 23)) (kvgty -4)) -6);15;13;(let* ((mogxmn (- (+ 10 18) 29))) '());9
(let* ((pat -16) (qifm -11) (hdcf -1)) (begin (set! pat 1) (* (- -29 17) (+ (+ -21 -7) (- hdcf -9))) qifm));24;24;(let* ((pat -16)) (begin (set! pat 1)));5
(let ((hqhzk (if #t -12 21)) (wtl (if #t 30 17)) (tplp 11)) (if (= wtl -3) (begin (if #t (/ -20 -5) -28) (* tplp (/ 6 (- hqhzk (* wtl (+ 24 13))))) -19) hqhzk));41;13;(let ((wtl (if #t 30 17))) '());6
(let* ((fg (begin -12 -16 -29)) (hut 1) (ftwia 16) (ofvc 9)) 22);9;24;(let* ((fg (begin -29))) '());4
(let ((ru (let () -22)) (pvppzl -5) (xa -14)) (- (/ -2 -20) 12));12;-21;(let ((ru (let () -22))) '());4
(let* ((fxuuye 3)) (begin (if #t -13 -15) (+ 15 -3) fxuuye 17));13;22;(let* ((fxuuye 3)) '());3
(letrec* ((nymti -14) (t 27) (x 13) (rsd 7)) (/ (* rsd 30) (* (/ (- 10 26) rsd) (/ 21 -23))));24;0;(letrec* ((nymti -14)) '());3
(let* ((lkf (- 29 -17)) (xpikrx (/ (/ -23 -9) (if #f -9 14))) (daq (/ -30 -13)) (wm 10)) (- (begin (if #f -10 daq) wm (+ (/ -3 daq) (* 12 (- -1 (* 25 -24))))) (* (let* () -12) (/ (+ -9 (/ (/ daq lkf) 12)) -24))));61;17;(let* ((lkf (dummy 2)) (xpikrx (/ (/ -23 -9) (if #f -9 14))) (daq (dummy 2))) (- (begin (+ (/ -3 daq) (* 12 (- -1 (* 25 -24))))) (* (let* () -12) (/ (+ -9 (/ (/ daq lkf) 12)) -24))));53
(let ((lajvq -21) (le (begin -8 15)) (ivllnh -4) (ocxv -8)) (+ -23 (+ (letrec* () 13) (letrec* () (+ (/ 12 ivllnh) (/ le lajvq))))));25;-4;(let ((lajvq -21) (le (dummy 2)) (ivllnh -4)) (+ -23 (+ (letrec* () 13) (letrec* () (+ (/ 12 ivllnh) (/ le lajvq))))));24
(let* ((gxs (- -10 -25)) (cevf (let () -1)) (bc -21) (ez -28)) (- (- (- bc 27) -12) (/ -27 (/ -5 (+ 13 29)))));28;-2;(let* ((cevf (let () -1)) (bc -21)) '());5
(letrec* ((utksoz 22) (kncps 27) (z 17)) (if #f 21 (if (= 26 5) (/ (/ 30 (* (* 14 (+ 7 utksoz)) 27)) z) (* (- -16 18) 19))));35;0;(letrec* ((utksoz 22)) '());3
(let ((dtdg 28) (jncciy (begin -30 20)) (fbb (/ 7 -9)) (kok -26)) (- -27 (begin fbb (- jncciy (* 8 -2)) kok)));23;-24;(let ((dtdg 28)) '());3
(let* ((wlsvds (+ 22 23)) (wsf 28) (dp 18)) 15);8;15;(let* ((wlsvds (+ 22 23))) '());6
(letrec* ((brgpq (if #f 16 -28)) (r (if #f 22 (/ 23 3))) (yiov (* -12 18)) (jy 23)) (if (< yiov yiov) (/ (begin (- (/ brgpq 0) (+ -17 -26)) r) jy) -9));38;9;(letrec* ((r (if #f 22 (/ 23 3))) (yiov (* -12 18))) '());13
(let ((fny -7) (ze 17) (wk -9) (njx -16)) (* (if (< (* (- (+ -29 njx) njx) (+ wk -26)) wk) (begin -1 2) (+ njx (- -24 -10))) (* (+ 18 fny) fny)));41;-9;(let ((wk -9) (njx -16)) '());4
(let ((qvxuw -10) (bji -22) (yibjzq -27)) qvxuw);5;-2;(let ((bji -22)) '());3
(let* ((y 22) (rhmd -14) (nnryz -11)) (/ -28 (- -15 (* (* rhmd (* nnryz y)) (* 23 rhmd)))));23;25;(let* ((rhmd -14)) '());3
(let* ((qih (* (- -2 5) (- 0 (if #f -3 -13)))) (m -4) (k -13) (ukugwm 13)) (begin (+ (- (+ (+ m (/ qih 8)) m) -21) (+ k 27)) (set! m 23) -10 6));41;0;(let* ((qih (* (- -2 5) (- 0 (if #f -3 -13))))) '());15
(let* ((kitvmp -28) (bbonwc -24)) (begin (set! bbonwc 21) bbonwc 15 -5));9;-3;(let* ((bbonwc -24)) (begin (set! bbonwc 21)));5
(let* ((esztq (/ (let* () 12) (if #f 26 (* 22 -15)))) (ck 29) (ou (/ 10 25)) (bybvr 5)) ck);19;-21;(let* ((esztq (/ (let* () 12) (if #f 26 (* 22 -15)))) (bybvr 5)) '());14
(let* ((gyxsw (+ (* (if #f 8 4) -15) -9)) (f 8) (rz -15) (wyo -13)) wyo);15;-20;(let* ((gyxsw (+ (* (if #f 8 4) -15) -9))) '());12
(let* ((monu 23) (vqq -12)) (begin (set! monu (* (- -7 (/ -14 -28)) (* 1 7))) monu (set! vqq vqq) -7));22;-23;(let* ((vqq -12)) (begin (set! vqq vqq)));5
(let* ((ypma 0) (bf 18) (sryt 6)) (begin 5 bf 10 bf));9;-28;(let* ((sryt 6)) '());3
(let ((we (if #t -21 -15)) (twuy 24) (dmzop -17) (bphet -29)) (- (* (/ dmzop 13) (if #f 9 (+ (+ (/ -12 we) dmzop) -7))) (+ (if (< -17 we) -28 bphet) (if #t -8 (- (- -11 dmzop) (+ (/ dmzop (* -26 we)) twuy))))));57;-2;(let ((we (if #t -21 -15)) (dmzop -17)) '());7
(let* ((zvivwu -27)) (begin (if #f (* (+ -23 (+ -3 -14)) -18) (if #f (* (/ (/ (+ (- 19 zvivwu) (+ 19 zvivwu)) (* (- zvivwu zvivwu) zvivwu)) (+ -28 30)) zvivwu) zvivwu)) (- (/ zvivwu (- (* (/ -1 zvivwu) -27) zvivwu)) (+ -5 (+ (- zvivwu zvivwu) -21))) zvivwu 12));73;-12;(let* ((zvivwu -27)) '());3
(let* ((xawadl (let* ((f 4)) (* -22 -18))) (qvozh (begin 19 -28)) (nqqw -25) (juglf 2)) (* (if #f (if #f (* xawadl juglf) (if #f qvozh -30)) -15) -22));28;2;(let* ((xawadl (let* () (* -22 -18))) (nqqw -25)) '());8
(letrec* ((iagqsw (/ -21 (* 30 -25))) (covc (+ -27 (if #f 25 16))) (upp 11) (sovuk -19)) covc);18;-17;(letrec* ((sovuk -19)) '());3
(let ((v (+ (begin 21 -6) -25)) (hydqza -3) (tjrr 2) (vkknfv 13)) (begin (let () -27) (* 20 (+ -1 21)) (set! v -15) (/ -11 -12)));26;-17;(let ((vkknfv 13)) '());3
(letrec* ((osc (begin -7 -1)) (d (- 19 20)) (jn 21)) osc);10;15;(letrec* ((osc (begin -1))) '());4
(let* ((pkor 18) (mvr 6)) (/ 4 28));7;1;(let* ((mvr 6)) '());3
(let* ((jcuybz -17) (qgltu 21) (kdzx 28)) -14);5;-29;(let* ((qgltu 21)) '());3
(let* ((lzv (begin 14 27)) (ya (if #f 12 0)) (whuqxt 0)) 23);10;-13;(let* ((whuqxt 0)) '());3
(let* ((wn 1) (embfg (/ 1 5)) (mrgmk (if #t 28 -16)) (zb 22)) (if (< zb 14) (* (letrec* () (- (/ (/ (+ mrgmk 21) (* (- 4 5) 6)) (/ 14 -10)) 17)) (begin -29 mrgmk)) (* wn mrgmk)));48;-2;(let* ((mrgmk (if #t 28 -16)) (zb 22)) (if (< zb 14) (* (letrec* () (- (/ (/ (+ mrgmk 21) (* (- 4 5) 6)) (/ 14 -10)) 17)) (begin mrgmk)) '()));39
(let* ((sc 27) (k -10) (kjpf 21)) (/ (+ (+ -17 11) -3) 13));14;-9;(let* ((sc 27)) '());3
(let ((sxc (/ -30 (if #t (* 5 -5) -28))) (q 24) (yceya (if #f 17 26)) (c 28)) (+ 10 18));21;8;(let ((sxc (/ -30 (if #t (* 5 -5) -28)))) '());12
(letrec* ((eotpc (+ (if #f (+ 5 -3) 7) -7)) (psaqa (if #t 12 29)) (tjruk -2) (nw -21)) (* (begin 14 psaqa tjruk) (- (* (if #t (/ tjruk psaqa) (/ eotpc -4)) (if #t (+ 22 nw) psaqa)) (let* () 3))));46;-17;(letrec* ((eotpc (dummy 3)) (psaqa (dummy 2)) (tjruk -2) (nw -21)) (* (begin tjruk) (- (* (if #t (/ tjruk psaqa) (/ eotpc -4)) (if #t (+ 22 nw) psaqa)) (let* () 3))));36
(let ((pmxnoh -6) (bmj (/ -26 15)) (ah -12) (l 20)) (* (- (/ l (- (- 14 -8) -9)) (/ (* 16 (+ l 22)) pmxnoh)) 21));33;21;(let ((bmj (/ -26 15))) '());6
(let* ((ryxdu (* 15 (/ -9 15))) (kesot -2) (mpob 0)) (* -7 (/ (if #f 26 (- -4 -12)) (begin ryxdu (- (/ kesot -20) (- (- (* -25 (+ (+ 12 (- -28 (* kesot (/ (* (* (- kesot 27) 21) (+ -5 mpob)) 24)))) (+ (+ (- 20 21) (- mpob mpob)) -24))) (- 20 (/ -7 -9))) ryxdu))))));85;-16;(let* ((mpob 0)) '());3
(let* ((o 2) (yvcwh -7) (igmsey 28)) (- (if (= 30 yvcwh) -3 (/ (if #f 6 -21) o)) (if #t (if #f (+ 4 (/ (/ 24 9) 17)) (if #f 8 -9)) (+ 28 9))));41;-26;(let* ((yvcwh -7)) '());3
(let* ((wkeckv (+ 6 29)) (tly (+ 24 27)) (kn 23)) (/ tly 15));14;30;(let* ((wkeckv (+ 6 29))) '());6
(let* ((ibosoz 21) (n -30) (ckdko (if #f 17 -4)) (wqossj 11)) (if (< (* -9 wqossj) -28) ibosoz (- (- wqossj ckdko) 19)));24;-19;(let* ((n -30) (wqossj 11)) '());4
(let* ((ubcsuq (if #f (- 4 -1) -18)) (fbdo 9) (omb 9) (eyp -23)) 24);12;-30;(let* ((omb 9)) '());3
(letrec* ((z -21) (tatdp (if (= 3 18) (* -28 -10) -1)) (qym 0) (mej 25)) (if #f 3 (if (= z qym) (+ tatdp (* (- mej (* -10 (* (* 25 (- 27 (- (* (+ 22 -10) -6) 14))) -1))) 1)) (/ tatdp 1))));57;-11;(letrec* ((z -21) (tatdp (if (= 3 18) (* -28 -10) -1)) (qym 0)) '());14
(let ((tixvzg 13) (dcyn (let* () -2)) (rdpgo (+ -2 -21)) (ytrsch 13)) (begin (* (if #f -1 -14) -24) (* 16 22) (set! rdpgo -12) ytrsch));24;0;(let ((tixvzg 13) (dcyn (let* () -2))) '());5
(let ((wyzs 17) (j (if #f -23 6)) (eu 19)) (begin (begin (set! j -19) (* wyzs -25)) (if #t wyzs (+ 16 (/ (* eu eu) j))) 27 -2));30;9;(let ((wyzs 17)) '());3
